periodo,regiao,instituicao,especialidade,doentes_saidos,dias_internamento,latitude,longitude,demora_media
2015-07,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE",Outras Camas,199.0,1146.0,41.3423984,-8.4802503,5.758793969849246
2015-07,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",Outras Camas,914.0,17495.0,41.1472498,-8.6172617,19.141137855579867
2015-07,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE",Outras Camas,90.0,3212.0,41.2494561,-8.264901,35.68888888888889
2015-07,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Outras Camas,213.0,3314.0,41.3031784,-7.7515252,15.55868544600939
2015-08,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",Outras Camas,803.0,13506.0,37.0238973,-7.9281554,16.819427148194272
2015-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",Outras Camas,750.0,9794.0,40.516364,-8.0827433,13.058666666666667
2015-08,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",Outras Camas,112.0,1473.0,40.5309916,-7.2734793,13.151785714285714
2015-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",Outras Camas,1192.0,34088.0,38.7166948,-9.1371248,28.59731543624161
2015-08,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",Outras Camas,74.0,2031.0,39.2410946,-8.6937515,27.445945945945947
2015-08,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",Outras Camas,532.0,11231.0,38.7422257,-9.2264834,21.110902255639097
2015-08,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",Outras Camas,18.0,1347.0,38.7396768,-9.1634516,74.83333333333333
2015-08,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",Outras Camas,1033.0,19663.0,41.1472498,-8.6172617,19.03484995159729
2015-08,Região de Saúde Norte,"Hospital de Braga, PPP",Outras Camas,105.0,2307.0,41.56785,-8.398982,21.97142857142857
2015-09,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE",Outras Camas,417.0,6139.0,38.5684861,-7.9032848,14.721822541966427
